,LEAID,County,State,State/County,School District,ALL_MTH00pctprof_1112,ALL_RLA00pctprof_1112,Ages 5 to 17 in Families in Poverty Percent
1768,623160,Los Angeles County,CA,Los Angeles County CA,Lynwood Unified,40.0,40.0,25.75
1769,623340,Madera County,CA,Madera County CA,Madera Unified,47.0,43.0,31.25
1770,623430,Orange County,CA,Orange County CA,Magnolia Elementary,63.0,55.0,17.0
1771,623460,Imperial County,CA,Imperial County CA,Magnolia Union Elementary,82.0,72.0,31.2
1772,623530,Mono County,CA,Mono County CA,Mammoth Unified,64.0,60.0,15.899999999999999
1773,623550,Mendocino County,CA,Mendocino County CA,Manchester Union Elementary,34.5,49.5,30.45
1774,623610,San Joaquin County,CA,San Joaquin County CA,Manteca Unified,50.0,49.0,22.8
1775,623670,Tehama County,CA,Tehama County CA,Manton Joint Union Elementary,49.5,49.5,27.9
1776,623700,Butte County,CA,Butte County CA,Manzanita Elementary,72.0,72.0,25.700000000000003
1777,623730,Humboldt County,CA,Humboldt County CA,Maple Creek Elementary,50.0,50.0,24.8
1778,623760,Kern County,CA,Kern County CA,Maple Elementary,52.0,57.0,32.95
1779,623800,Sutter County,CA,Sutter County CA,Marcum-Illinois Union Elementary,37.0,60.0,22.45
1780,623820,Kern County,CA,Kern County CA,Maricopa Unified,29.0,45.0,32.95
1781,623940,Mariposa County,CA,Mariposa County CA,Mariposa County Unified,61.0,64.0,23.0
1782,623970,Calaveras County,CA,Calaveras County CA,Mark Twain Union Elementary,62.0,56.0,18.1
1783,624000,Sonoma County,CA,Sonoma County CA,Mark West Union Elementary,69.0,66.0,13.8
1784,624030,Contra Costa County,CA,Contra Costa County CA,Martinez Unified,69.0,70.0,13.7
1785,624090,Yuba County,CA,Yuba County CA,Marysville Joint Unified,56.0,49.0,28.55
1786,624150,Colusa County,CA,Colusa County CA,Maxwell Unified,57.0,52.0,18.85
1787,624180,Imperial County,CA,Imperial County CA,McCabe Union Elementary,78.0,74.0,31.2
1788,624210,Siskiyou County,CA,Siskiyou County CA,McCloud Union Elementary,44.5,64.5,28.45
1789,624230,Kern County,CA,Kern County CA,McFarland Unified,53.0,40.0,32.95
1790,624300,Humboldt County,CA,Humboldt County CA,McKinleyville Union Elementary,58.0,65.0,24.8
1791,624330,Kern County,CA,Kern County CA,McKittrick Elementary,64.5,74.5,32.95
1792,624360,Merced County,CA,Merced County CA,McSwain Union Elementary,64.0,73.0,35.55
1793,624390,Imperial County,CA,Imperial County CA,Meadows Union Elementary,54.0,43.0,31.2
1794,624480,Mendocino County,CA,Mendocino County CA,Mendocino Unified,54.0,67.0,30.45
1795,624500,Santa Clara County,CA,Santa Clara County CA,Milpitas Unified,73.0,71.0,12.3
1796,624540,Riverside County,CA,Riverside County CA,Menifee Union Elementary,64.0,67.0,23.05
1797,624570,San Mateo County,CA,San Mateo County CA,Menlo Park City Elementary,85.0,86.0,9.95
1798,624600,Merced County,CA,Merced County CA,Merced City Elementary,45.0,47.0,35.55
1799,624630,Merced County,CA,Merced County CA,Merced River Union Elementary,47.0,42.0,35.55
1800,624660,Merced County,CA,Merced County CA,Merced Union High,58.0,53.0,35.55
