,LEAID,County,State,State/County,School District,ALL_MTH00pctprof_1112,ALL_RLA00pctprof_1112,Ages 5 to 17 in Families in Poverty Percent
1,100005,Marshall County,AL,Marshall County AL,Albertville City,88.0,86.0,30.950000000000003
2,100006,Marshall County,AL,Marshall County AL,Marshall County,89.0,87.0,30.950000000000003
3,100007,Jefferson County,AL,Jefferson County AL,Hoover City,89.0,92.0,26.200000000000003
4,100008,Madison County,AL,Madison County AL,Madison City,94.0,95.0,17.15
6,100011,Jefferson County,AL,Jefferson County AL,Leeds City,74.0,83.0,26.200000000000003
7,100012,Marshall County,AL,Marshall County AL,Boaz City,85.0,90.0,30.950000000000003
8,100013,Jefferson County,AL,Jefferson County AL,Trussville City,93.0,95.0,26.200000000000003
9,100018,Jefferson County,AL,Jefferson County AL,Alabama School of Fine Arts,95.0,95.0,26.200000000000003
10,100030,Tallapoosa County,AL,Tallapoosa County AL,Alexander City,86.0,88.0,31.6
14,100060,Covington County,AL,Covington County AL,Andalusia City,86.0,88.0,34.3
15,100090,Calhoun County,AL,Calhoun County AL,Anniston City,61.0,75.0,30.8
16,100100,Marshall County,AL,Marshall County AL,Arab City,97.0,97.0,30.950000000000003
17,100120,Limestone County,AL,Limestone County AL,Athens City,87.0,90.0,18.1
18,100180,Etowah County,AL,Etowah County AL,Attalla City,72.0,80.0,29.9
20,100185,Mobile County,AL,Mobile County AL,Saraland City,91.0,92.0,28.2
23,100210,Lee County,AL,Lee County AL,Auburn City,93.0,93.0,19.450000000000003
24,100240,Autauga County,AL,Autauga County AL,Autauga County,89.0,91.0,18.5
25,100270,Baldwin County,AL,Baldwin County AL,Baldwin County,88.0,90.0,19.15
26,100300,Barbour County,AL,Barbour County AL,Barbour County,64.0,70.0,40.05
27,100330,Jefferson County,AL,Jefferson County AL,Bessemer City,69.0,75.0,26.200000000000003
28,100360,Bibb County,AL,Bibb County AL,Bibb County,76.0,84.0,26.9
29,100390,Jefferson County,AL,Jefferson County AL,Birmingham City,71.0,75.0,26.200000000000003
30,100420,Blount County,AL,Blount County AL,Blount County,80.0,87.0,21.5
31,100450,Escambia County,AL,Escambia County AL,Brewton City,89.0,91.0,32.55
32,100480,Bullock County,AL,Bullock County AL,Bullock County,60.0,75.0,41.75
33,100510,Butler County,AL,Butler County AL,Butler County,85.0,84.0,36.3
34,100540,Calhoun County,AL,Calhoun County AL,Calhoun County,82.0,90.0,30.8
35,100600,Chambers County,AL,Chambers County AL,Chambers County,70.0,80.0,37.05
36,100630,Cherokee County,AL,Cherokee County AL,Cherokee County,79.0,84.0,29.85
37,100660,Chilton County,AL,Chilton County AL,Chilton County,80.0,84.0,27.35
38,100690,Choctaw County,AL,Choctaw County AL,Choctaw County,73.0,79.0,30.45
39,100720,Clarke County,AL,Clarke County AL,Clarke County,73.0,80.0,29.450000000000003
40,100750,Clay County,AL,Clay County AL,Clay County,78.0,80.0,27.15
41,100780,Cleburne County,AL,Cleburne County AL,Cleburne County,84.0,87.0,24.5
42,100810,Coffee County,AL,Coffee County AL,Coffee County,81.0,88.0,22.8
43,100840,Colbert County,AL,Colbert County AL,Colbert County,82.0,87.0,25.35
44,100870,Conecuh County,AL,Conecuh County AL,Conecuh County,87.0,88.0,39.2
45,100900,Coosa County,AL,Coosa County AL,Coosa County,81.0,83.0,29.9
46,100930,Covington County,AL,Covington County AL,Covington County,87.0,90.0,34.3
47,100960,Crenshaw County,AL,Crenshaw County AL,Crenshaw County,85.0,85.0,27.0
48,100990,Cullman County,AL,Cullman County AL,Cullman City,96.0,96.0,25.85
49,101020,Cullman County,AL,Cullman County AL,Cullman County,85.0,88.0,25.85
50,101050,Dale County,AL,Dale County AL,Dale County,88.0,90.0,26.5
51,101080,Dale County,AL,Dale County AL,Daleville City,72.0,83.0,26.5
52,101110,Dallas County,AL,Dallas County AL,Dallas County,71.0,74.0,48.85
54,101170,Morgan County,AL,Morgan County AL,Decatur City,85.0,85.0,24.2
55,101200,Marengo County,AL,Marengo County AL,Demopolis City,86.0,89.0,31.700000000000003
56,101230,Houston County,AL,Houston County AL,Dothan City,87.0,89.0,27.4
57,101260,Coffee County,AL,Coffee County AL,Elba City,71.0,78.0,22.8
58,101290,Elmore County,AL,Elmore County AL,Elmore County,82.0,90.0,19.1
59,101320,Coffee County,AL,Coffee County AL,Enterprise City,90.0,92.0,22.8
60,101350,Escambia County,AL,Escambia County AL,Escambia County,85.0,87.0,32.55
61,101380,Etowah County,AL,Etowah County AL,Etowah County,84.0,89.0,29.9
62,101410,Barbour County,AL,Barbour County AL,Eufaula City,77.0,82.0,40.05
63,101440,Jefferson County,AL,Jefferson County AL,Fairfield City,65.0,74.0,26.200000000000003
64,101470,Fayette County,AL,Fayette County AL,Fayette County,84.0,86.0,28.2
65,101530,Lauderdale County,AL,Lauderdale County AL,Florence City,87.0,90.0,23.85
67,101590,Franklin County,AL,Franklin County AL,Franklin County,85.0,88.0,30.799999999999997
68,101620,Etowah County,AL,Etowah County AL,Gadsden City,73.0,83.0,29.9
69,101640,Geneva County,AL,Geneva County AL,Geneva City,86.0,88.0,35.650000000000006
70,101660,Geneva County,AL,Geneva County AL,Geneva County,76.0,80.0,35.650000000000006
71,101680,Greene County,AL,Greene County AL,Greene County,68.0,77.0,44.1
72,101690,Marshall County,AL,Marshall County AL,Guntersville City,91.0,91.0,30.950000000000003
73,101710,Hale County,AL,Hale County AL,Hale County,78.0,80.0,36.099999999999994
74,101720,Winston County,AL,Winston County AL,Haleyville City,85.0,89.0,32.2
75,101730,Morgan County,AL,Morgan County AL,Hartselle City,91.0,93.0,24.2
76,101740,Henry County,AL,Henry County AL,Henry County,74.0,82.0,27.15
77,101760,Jefferson County,AL,Jefferson County AL,Homewood City,92.0,93.0,26.200000000000003
78,101770,Houston County,AL,Houston County AL,Houston County,87.0,90.0,27.4
79,101800,Madison County,AL,Madison County AL,Huntsville City,81.0,86.0,17.15
80,101830,Jackson County,AL,Jackson County AL,Jackson County,85.0,87.0,23.75
81,101860,Calhoun County,AL,Calhoun County AL,Jacksonville City,79.0,89.0,30.8
82,101890,Walker County,AL,Walker County AL,Jasper City,88.0,89.0,25.549999999999997
83,101920,Jefferson County,AL,Jefferson County AL,Jefferson County,81.0,86.0,26.200000000000003
84,101950,Lamar County,AL,Lamar County AL,Lamar County,78.0,82.0,28.1
85,101980,Chambers County,AL,Chambers County AL,Lanett City,68.0,74.0,37.05
86,102010,Lauderdale County,AL,Lauderdale County AL,Lauderdale County,85.0,89.0,23.85
87,102040,Lawrence County,AL,Lawrence County AL,Lawrence County,79.0,86.0,25.25
88,102070,Lee County,AL,Lee County AL,Lee County,84.0,87.0,19.450000000000003
89,102100,Limestone County,AL,Limestone County AL,Limestone County,75.0,83.0,18.1
90,102130,Marengo County,AL,Marengo County AL,Linden City,62.0,66.0,31.700000000000003
91,102160,Lowndes County,AL,Lowndes County AL,Lowndes County,63.0,74.0,39.45
92,102190,Macon County,AL,Macon County AL,Macon County,64.0,76.0,42.0
93,102220,Madison County,AL,Madison County AL,Madison County,89.0,92.0,17.15
94,102250,Marengo County,AL,Marengo County AL,Marengo County,76.0,79.0,31.700000000000003
95,102310,Marion County,AL,Marion County AL,Marion County,88.0,89.0,29.6
96,102350,Jefferson County,AL,Jefferson County AL,Midfield City,65.0,75.0,26.200000000000003
97,102370,Mobile County,AL,Mobile County AL,Mobile County,83.0,87.0,28.2
98,102400,Monroe County,AL,Monroe County AL,Monroe County,79.0,80.0,33.7
99,102430,Montgomery County,AL,Montgomery County AL,Montgomery County,67.0,76.0,30.200000000000003
100,102480,Morgan County,AL,Morgan County AL,Morgan County,83.0,88.0,24.2
101,102490,Jefferson County,AL,Jefferson County AL,Mountain Brook City,98.0,98.0,26.200000000000003
102,102520,Colbert County,AL,Colbert County AL,Muscle Shoals City,93.0,94.0,25.35
103,102550,Blount County,AL,Blount County AL,Oneonta City,88.0,93.0,21.5
104,102580,Lee County,AL,Lee County AL,Opelika City,80.0,83.0,19.450000000000003
105,102610,Covington County,AL,Covington County AL,Opp City,87.0,84.0,34.3
106,102635,Calhoun County,AL,Calhoun County AL,Oxford City,86.0,89.0,30.8
107,102640,Dale County,AL,Dale County AL,Ozark City,85.0,85.0,26.5
108,102650,St. Clair County,AL,St. Clair County AL,Pell City,86.0,89.0,22.05
109,102670,Perry County,AL,Perry County AL,Perry County,75.0,77.0,46.65
110,102700,Russell County,AL,Russell County AL,Phenix City,76.0,83.0,32.599999999999994
111,102730,Pickens County,AL,Pickens County AL,Pickens County,79.0,85.0,31.85
112,102760,Calhoun County,AL,Calhoun County AL,Piedmont City,88.0,90.0,30.8
113,102790,Pike County,AL,Pike County AL,Pike County,83.0,87.0,32.849999999999994
114,102820,Randolph County,AL,Randolph County AL,Randolph County,71.0,82.0,29.15
115,102850,Randolph County,AL,Randolph County AL,Roanoke City,80.0,80.0,29.15
116,102880,Russell County,AL,Russell County AL,Russell County,74.0,81.0,32.599999999999994
117,102910,Franklin County,AL,Franklin County AL,Russellville City,87.0,90.0,30.799999999999997
118,102940,Jackson County,AL,Jackson County AL,Scottsboro City,83.0,87.0,23.75
119,102970,Dallas County,AL,Dallas County AL,Selma City,75.0,80.0,48.85
120,103000,Colbert County,AL,Colbert County AL,Sheffield City,74.0,75.0,25.35
121,103030,Shelby County,AL,Shelby County AL,Shelby County,89.0,90.0,10.600000000000001
122,103062,St. Clair County,AL,St. Clair County AL,St Clair County,83.0,88.0,22.05
123,103090,Sumter County,AL,Sumter County AL,Sumter County,66.0,66.0,42.0
124,103120,Talladega County,AL,Talladega County AL,Sylacauga City,86.0,87.0,31.05
125,103150,Talladega County,AL,Talladega County AL,Talladega City,68.0,77.0,31.05
126,103180,Talladega County,AL,Talladega County AL,Talladega County,85.0,84.0,31.05
127,103210,Tallapoosa County,AL,Tallapoosa County AL,Tallapoosa County,75.0,80.0,31.6
128,103240,Elmore County,AL,Elmore County AL,Tallassee City,74.0,84.0,19.1
129,103270,Jefferson County,AL,Jefferson County AL,Tarrant City,62.0,74.0,26.200000000000003
130,103300,Clarke County,AL,Clarke County AL,Thomasville City,82.0,87.0,29.450000000000003
131,103330,Pike County,AL,Pike County AL,Troy City,89.0,87.0,32.849999999999994
132,103360,Tuscaloosa County,AL,Tuscaloosa County AL,Tuscaloosa City,77.0,81.0,25.2
133,103390,Tuscaloosa County,AL,Tuscaloosa County AL,Tuscaloosa County,81.0,86.0,25.2
134,103420,Colbert County,AL,Colbert County AL,Tuscumbia City,80.0,89.0,25.35
135,103430,Jefferson County,AL,Jefferson County AL,Vestavia Hills City,94.0,97.0,26.200000000000003
136,103450,Walker County,AL,Walker County AL,Walker County,80.0,85.0,25.549999999999997
137,103480,Washington County,AL,Washington County AL,Washington County,74.0,84.0,24.3
138,103510,Wilcox County,AL,Wilcox County AL,Wilcox County,68.0,77.0,45.3
139,103540,Marion County,AL,Marion County AL,Winfield City,94.0,96.0,29.6
140,103580,Winston County,AL,Winston County AL,Winston County,80.0,84.0,32.2
141,200001,Bethel Census Area,AK,Bethel Census Area AK,Lower Kuskokwim School District,31.0,38.0,29.75
142,200003,Wade Hampton Census Area,AK,Wade Hampton Census Area AK,Lower Yukon School District,30.0,31.0,38.1
143,200004,Bethel Census Area,AK,Bethel Census Area AK,Yupiit School District,19.0,24.0,29.75
144,200005,Wade Hampton Census Area,AK,Wade Hampton Census Area AK,Kashunamiut School District,32.0,37.0,38.1
146,200007,Aleutians East Borough,AK,Aleutians East Borough AK,Aleutians East Borough School District,72.0,87.0,14.3
148,200020,Nome Census Area,AK,Nome Census Area AK,Bering Strait School District,44.0,53.0,30.8
149,200030,Bristol Bay Borough,AK,Bristol Bay Borough AK,Bristol Bay Borough School District,77.0,82.0,9.95
150,200050,Southeast Fairbanks Census Area,AK,Southeast Fairbanks Census Area AK,Alaska Gateway School District,57.0,67.0,17.0
151,200060,Valdez-Cordova Census Area,AK,Valdez-Cordova Census Area AK,Cordova City School District,74.0,86.0,9.899999999999999
152,200070,Valdez-Cordova Census Area,AK,Valdez-Cordova Census Area AK,Copper River School District,83.0,90.0,9.899999999999999
154,200100,Southeast Fairbanks Census Area,AK,Southeast Fairbanks Census Area AK,Delta/Greely School District,69.0,85.0,17.0
155,200120,Dillingham Census Area,AK,Dillingham Census Area AK,Dillingham City School District,56.0,69.0,26.25
156,200130,Yukon-Koyukuk Census Area,AK,Yukon-Koyukuk Census Area AK,Galena City School District,59.0,87.0,26.549999999999997
157,200150,Ketchikan Gateway Borough,AK,Ketchikan Gateway Borough AK,Ketchikan Gateway Borough School District,70.0,85.0,13.55
161,200270,Haines Borough,AK,Haines Borough AK,Haines Borough School District,82.0,92.0,14.95
162,200300,Hoonah-Angoon Census Area,AK,Hoonah-Angoon Census Area AK,Hoonah City School District,57.0,72.0,23.1
164,200360,Petersburg Census Area,AK,Petersburg Census Area AK,Kake City School District,64.5,74.5,13.0
165,200390,Kenai Peninsula Borough,AK,Kenai Peninsula Borough AK,Kenai Peninsula Borough School District,78.0,88.0,12.6
167,200480,Kodiak Island Borough,AK,Kodiak Island Borough AK,Kodiak Island Borough School District,73.0,86.0,9.9
168,200485,Bristol Bay Borough,AK,Bristol Bay Borough AK,Lake and Peninsula Borough School District,72.0,77.0,9.95
169,200510,Matanuska-Susitna Borough,AK,Matanuska-Susitna Borough AK,Matanuska-Susitna Borough School District,75.0,88.0,12.0
170,200520,Yukon-Koyukuk Census Area,AK,Yukon-Koyukuk Census Area AK,Iditarod Area School District,47.0,77.0,26.549999999999997
172,200540,Yukon-Koyukuk Census Area,AK,Yukon-Koyukuk Census Area AK,Nenana City School District,61.0,84.0,26.549999999999997
173,200570,Nome Census Area,AK,Nome Census Area AK,Nome Public Schools,56.0,69.0,30.8
174,200600,Fairbanks North Star Borough,AK,Fairbanks North Star Borough AK,Fairbanks North Star Borough School District,73.0,85.0,11.4
175,200610,North Slope Borough,AK,North Slope Borough AK,North Slope Borough School District,50.0,58.0,14.85
176,200625,Northwest Arctic Borough,AK,Northwest Arctic Borough AK,Northwest Arctic Borough School District,43.0,47.0,26.85
177,200630,Hoonah-Angoon Census Area,AK,Hoonah-Angoon Census Area AK,Pelican City School District,50.0,50.0,23.1
178,200660,Petersburg Census Area,AK,Petersburg Census Area AK,Petersburg City School District,80.0,90.0,13.0
179,200670,Aleutians West Census Area,AK,Aleutians West Census Area AK,Pribilof School District,84.5,74.5,7.6
180,200680,Wade Hampton Census Area,AK,Wade Hampton Census Area AK,Saint Mary's School District,57.0,62.0,38.1
181,200690,Skagway Municipality,AK,Skagway Municipality AK,Skagway City School District,90.0,90.0,9.149999999999999
183,200710,Dillingham Census Area,AK,Dillingham Census Area AK,Southwest Region School District,31.0,43.0,26.25
184,200715,Yukon-Koyukuk Census Area,AK,Yukon-Koyukuk Census Area AK,Tanana City School District,49.5,49.5,26.549999999999997
185,200720,Aleutians West Census Area,AK,Aleutians West Census Area AK,Unalaska City School District,91.0,94.0,7.6
186,200730,Hoonah-Angoon Census Area,AK,Hoonah-Angoon Census Area AK,Chatham School District,57.0,72.0,23.1
187,200760,Bethel Census Area,AK,Bethel Census Area AK,Kuspuk School District,42.0,51.0,29.75
188,200770,Denali Borough,AK,Denali Borough AK,Denali Borough School District,80.0,90.0,5.949999999999999
189,200775,Yukon-Koyukuk Census Area,AK,Yukon-Koyukuk Census Area AK,Yukon Flats School District,37.0,47.0,26.549999999999997
190,200780,Valdez-Cordova Census Area,AK,Valdez-Cordova Census Area AK,Valdez City School District,79.0,90.0,9.899999999999999
194,200862,Fairbanks North Star Borough,AK,Fairbanks North Star Borough AK,Yukon/Koyukuk School District,57.0,76.0,11.4
195,400001,Maricopa County,AZ,Maricopa County AZ,Cave Creek Unified District,82.0,92.0,23.5
196,400003,Yavapai County,AZ,Yavapai County AZ,Chino Valley Unified District,65.0,80.0,24.299999999999997
197,400004,Yavapai County,AZ,Yavapai County AZ,Clarkdale-Jerome Elementary District,71.0,85.0,24.299999999999997
198,400005,La Paz County,AZ,La Paz County AZ,Salome Consolidated Elementary District,44.5,54.5,35.25
203,400021,Mohave County,AZ,Mohave County AZ,Colorado City Unified District,55.0,76.0,33.6
204,400022,Apache County,AZ,Apache County AZ,Vernon Elementary District,62.0,87.0,39.1
205,400023,Navajo County,AZ,Navajo County AZ,Pinon Unified District,32.0,54.0,39.1
206,400026,Navajo County,AZ,Navajo County AZ,Heber-Overgaard Unified District,69.0,85.0,39.1
237,400082,Mohave County,AZ,Mohave County AZ,Colorado River Union High School District,40.0,74.0,33.6
315,400212,Cochise County,AZ,Cochise County AZ,Benson Unified School District,67.0,84.0,28.65
368,400295,Mohave County,AZ,Mohave County AZ,Kingman Unified School District,55.0,74.0,33.6
477,400450,Maricopa County,AZ,Maricopa County AZ,Agua Fria Union High School District,64.0,85.0,23.5
480,400480,Maricopa County,AZ,Maricopa County AZ,Aguila Elementary District,72.0,72.0,23.5
481,400520,Pima County,AZ,Pima County AZ,Ajo Unified District,32.0,58.0,27.9
482,400600,Maricopa County,AZ,Maricopa County AZ,Alhambra Elementary District,54.0,67.0,23.5
497,400630,Apache County,AZ,Apache County AZ,Alpine Elementary District,90.0,90.0,39.1
512,400680,Pima County,AZ,Pima County AZ,Amphitheater Unified District,67.0,82.0,27.9
513,400720,Yuma County,AZ,Yuma County AZ,Antelope Union High School District,57.0,72.0,30.85
518,400750,Cochise County,AZ,Cochise County AZ,Apache Elementary District,50.0,50.0,28.65
549,400790,Pinal County,AZ,Pinal County AZ,Apache Junction Unified District,59.0,78.0,22.9
593,400840,Maricopa County,AZ,Maricopa County AZ,Arlington Elementary District,60.0,76.0,23.5
608,400870,Cochise County,AZ,Cochise County AZ,Ash Creek Elementary District,20.0,69.5,28.65
609,400910,Yavapai County,AZ,Yavapai County AZ,Ash Fork Joint Unified District,52.0,72.0,24.299999999999997
610,400960,Maricopa County,AZ,Maricopa County AZ,Avondale Elementary District,55.0,70.0,23.5
611,401000,Yavapai County,AZ,Yavapai County AZ,Bagdad Unified District,45.0,70.0,24.299999999999997
612,401050,Maricopa County,AZ,Maricopa County AZ,Balsz Elementary District,55.0,63.0,23.5
613,401080,Yavapai County,AZ,Yavapai County AZ,Beaver Creek Elementary District,55.0,67.0,24.299999999999997
614,401160,La Paz County,AZ,La Paz County AZ,Bicentennial Union High School District,44.5,64.5,35.25
615,401180,Cochise County,AZ,Cochise County AZ,Bisbee Unified District,49.0,77.0,28.65
617,401260,Graham County,AZ,Graham County AZ,Bonita Elementary District,67.0,77.0,28.35
618,401290,La Paz County,AZ,La Paz County AZ,Bouse Elementary District,69.5,69.5,35.25
619,401330,Cochise County,AZ,Cochise County AZ,Bowie Unified District,15.0,54.5,28.65
620,401380,Maricopa County,AZ,Maricopa County AZ,Buckeye Elementary District,54.0,71.0,23.5
621,401410,Maricopa County,AZ,Maricopa County AZ,Buckeye Union High School District,58.0,79.0,23.5
622,401460,Cochise County,AZ,Cochise County AZ,Sierra Vista Unified District,66.0,83.0,28.65
623,401500,Mohave County,AZ,Mohave County AZ,Bullhead City School District,59.0,73.0,33.6
624,401600,Yavapai County,AZ,Yavapai County AZ,Camp Verde Unified District,59.0,75.0,24.299999999999997
625,401650,Yavapai County,AZ,Yavapai County AZ,Canon Elementary District,57.0,72.0,24.299999999999997
626,401680,Maricopa County,AZ,Maricopa County AZ,Cartwright Elementary District,56.0,68.0,23.5
627,401710,Pinal County,AZ,Pinal County AZ,Casa Grande Elementary District,63.0,74.0,22.9
628,401740,Pinal County,AZ,Pinal County AZ,Casa Grande Union High School District,57.0,79.0,22.9
629,401760,Pima County,AZ,Pima County AZ,Catalina Foothills Unified District,83.0,94.0,27.9
630,401810,Navajo County,AZ,Navajo County AZ,Cedar Unified District,22.0,47.0,39.1
631,401870,Maricopa County,AZ,Maricopa County AZ,Chandler Unified District,77.0,87.0,23.5
632,401940,Apache County,AZ,Apache County AZ,Chinle Unified District,33.0,57.0,39.1
633,402110,Greenlee County,AZ,Greenlee County AZ,Clifton Unified District,30.0,49.5,15.0
634,402130,Cochise County,AZ,Cochise County AZ,Cochise Elementary District,84.5,84.5,28.65
635,402190,Apache County,AZ,Apache County AZ,Concho Elementary District,67.0,82.0,39.1
636,402220,Yavapai County,AZ,Yavapai County AZ,Congress Elementary District,92.0,95.0,24.299999999999997
637,402250,Pima County,AZ,Pima County AZ,Continental Elementary District,66.0,79.0,27.9
638,402320,Pinal County,AZ,Pinal County AZ,Coolidge Unified District,39.0,63.0,22.9
639,402370,Yavapai County,AZ,Yavapai County AZ,Cottonwood-Oak Creek Elementary District,59.0,77.0,24.299999999999997
640,402400,Yuma County,AZ,Yuma County AZ,Crane Elementary District,62.0,75.0,30.85
641,402430,Maricopa County,AZ,Maricopa County AZ,Creighton Elementary District,53.0,66.0,23.5
643,402490,Cochise County,AZ,Cochise County AZ,Double Adobe Elementary District,49.5,69.5,28.65
644,402530,Cochise County,AZ,Cochise County AZ,Douglas Unified District,47.0,66.0,28.65
645,402600,Greenlee County,AZ,Greenlee County AZ,Duncan Unified District,48.0,72.0,15.0
646,402690,Maricopa County,AZ,Maricopa County AZ,Dysart Unified District,67.0,79.0,23.5
648,402760,Cochise County,AZ,Cochise County AZ,Elfrida Elementary District,47.0,72.0,28.65
649,402790,Pinal County,AZ,Pinal County AZ,Eloy Elementary District,46.0,60.0,22.9
650,402860,Coconino County,AZ,Coconino County AZ,Flagstaff Unified District,59.0,74.0,27.1
651,402920,Pinal County,AZ,Pinal County AZ,Florence Unified School District,58.0,73.0,22.9
652,403010,Pima County,AZ,Pima County AZ,Flowing Wells Unified District,63.0,78.0,27.9
653,403040,Maricopa County,AZ,Maricopa County AZ,Fountain Hills Unified District,72.0,88.0,23.5
654,403060,Maricopa County,AZ,Maricopa County AZ,Fowler Elementary District,59.0,71.0,23.5
655,403080,Coconino County,AZ,Coconino County AZ,Fredonia-Moccasin Unified District,47.0,67.0,27.1
657,403200,Graham County,AZ,Graham County AZ,Fort Thomas Unified District,32.0,49.0,28.35
658,403240,Yuma County,AZ,Yuma County AZ,Gadsden Elementary District,52.0,58.0,30.85
659,403290,Apache County,AZ,Apache County AZ,Ganado Unified School District,39.0,63.0,39.1
660,403310,Maricopa County,AZ,Maricopa County AZ,Gila Bend Unified District,26.0,55.0,23.5
661,403400,Maricopa County,AZ,Maricopa County AZ,Gilbert Unified District,77.0,88.0,23.5
662,403420,Maricopa County,AZ,Maricopa County AZ,Glendale Elementary District,51.0,65.0,23.5
663,403450,Maricopa County,AZ,Maricopa County AZ,Glendale Union High School District,64.0,79.0,23.5
664,403500,Gila County,AZ,Gila County AZ,Globe Unified District,47.0,65.0,34.3
665,403550,Coconino County,AZ,Coconino County AZ,Grand Canyon Unified District,37.0,67.0,27.1
666,403660,Mohave County,AZ,Mohave County AZ,Hackberry School District,50.0,50.0,33.6
667,403730,Gila County,AZ,Gila County AZ,Hayden-Winkelman Unified District,32.0,57.0,34.3
668,403780,Maricopa County,AZ,Maricopa County AZ,Higley Unified School District,78.0,90.0,23.5
669,403820,Navajo County,AZ,Navajo County AZ,Holbrook Unified District,53.0,71.0,39.1
671,403870,Yavapai County,AZ,Yavapai County AZ,Humboldt Unified District,69.0,85.0,24.299999999999997
672,403900,Yuma County,AZ,Yuma County AZ,Hyder Elementary District,77.0,72.0,30.85
673,403950,Pima County,AZ,Pima County AZ,Indian Oasis-Baboquivari Unified District,22.0,43.0,27.9
674,403960,Maricopa County,AZ,Maricopa County AZ,Isaac Elementary District,50.0,62.0,23.5
675,403990,Pinal County,AZ,Pinal County AZ,J O Combs Unified School District,58.0,78.0,22.9
676,404010,Navajo County,AZ,Navajo County AZ,Joseph City Unified District,63.0,81.0,39.1
677,404060,Navajo County,AZ,Navajo County AZ,Kayenta Unified District,39.0,58.0,39.1
678,404170,Yavapai County,AZ,Yavapai County AZ,Kirkland Elementary District,74.5,84.5,24.299999999999997
679,404230,Maricopa County,AZ,Maricopa County AZ,Kyrene Elementary District,77.0,88.0,23.5
680,404280,Mohave County,AZ,Mohave County AZ,Lake Havasu Unified District,73.0,87.0,33.6
681,404290,Maricopa County,AZ,Maricopa County AZ,Laveen Elementary District,64.0,74.0,23.5
682,404320,Maricopa County,AZ,Maricopa County AZ,Liberty Elementary District,61.0,80.0,23.5
683,404380,Maricopa County,AZ,Maricopa County AZ,Litchfield Elementary District,74.0,86.0,23.5
684,404410,Mohave County,AZ,Mohave County AZ,Littlefield Unified District,43.0,69.0,33.6
685,404440,Maricopa County,AZ,Maricopa County AZ,Littleton Elementary District,57.0,70.0,23.5
686,404500,Maricopa County,AZ,Maricopa County AZ,Madison Elementary District,73.0,85.0,23.5
687,404530,Coconino County,AZ,Coconino County AZ,Maine Consolidated School District,77.0,87.0,27.1
688,404570,Pinal County,AZ,Pinal County AZ,Mammoth-San Manuel Unified District,58.0,76.0,22.9
689,404630,Pima County,AZ,Pima County AZ,Marana Unified District,69.0,86.0,27.9
690,404720,Pinal County,AZ,Pinal County AZ,Maricopa Unified School District,56.0,72.0,22.9
691,404770,Pima County,AZ,Pima County AZ,Altar Valley Elementary District,57.0,69.0,27.9
692,404820,Yavapai County,AZ,Yavapai County AZ,Mayer Unified School District,51.0,65.0,24.299999999999997
693,404860,Apache County,AZ,Apache County AZ,Mcnary Elementary District,32.0,62.0,39.1
694,404920,Cochise County,AZ,Cochise County AZ,McNeal Elementary District,44.5,64.5,28.65
695,404970,Maricopa County,AZ,Maricopa County AZ,Mesa Unified District,67.0,80.0,23.5
696,405030,Gila County,AZ,Gila County AZ,Miami Unified District,53.0,69.0,34.3
697,405070,Yavapai County,AZ,Yavapai County AZ,Mingus Union High School District,68.0,80.0,24.299999999999997
698,405100,Maricopa County,AZ,Maricopa County AZ,Mobile Elementary District,50.0,50.0,23.5
699,405190,Mohave County,AZ,Mohave County AZ,Mohave Valley Elementary District,54.0,73.0,33.6
700,405220,Yuma County,AZ,Yuma County AZ,Mohawk Valley Elementary District,52.0,77.0,30.85
701,405320,Greenlee County,AZ,Greenlee County AZ,Morenci Unified District,64.0,78.0,15.0
702,405340,Maricopa County,AZ,Maricopa County AZ,Morristown Elementary District,52.0,82.0,23.5
704,405400,Maricopa County,AZ,Maricopa County AZ,Murphy Elementary District,48.0,62.0,23.5
705,405430,Cochise County,AZ,Cochise County AZ,Naco Elementary District,27.0,42.0,28.65
706,405460,Maricopa County,AZ,Maricopa County AZ,Nadaburg Unified School District,58.0,77.0,23.5
707,405530,Santa Cruz County,AZ,Santa Cruz County AZ,Nogales Unified District,69.0,82.0,34.45
708,405640,Pinal County,AZ,Pinal County AZ,Oracle Elementary District,57.0,72.0,22.9
709,405670,Maricopa County,AZ,Maricopa County AZ,Osborn Elementary District,57.0,68.0,23.5
710,405730,Mohave County,AZ,Mohave County AZ,Owens-Whitney Elementary District,69.5,80.0,33.6
711,405760,Gila County,AZ,Gila County AZ,Tonto Basin Elementary District,64.5,74.5,34.3
712,405820,Coconino County,AZ,Coconino County AZ,Page Unified District,51.0,61.0,27.1
713,405850,Maricopa County,AZ,Maricopa County AZ,Palo Verde Elementary District,73.0,79.0,23.5
714,405880,Cochise County,AZ,Cochise County AZ,Palominas Elementary District,78.0,86.0,28.65
715,405930,Maricopa County,AZ,Maricopa County AZ,Paradise Valley Unified District,71.0,84.0,23.5
716,405980,La Paz County,AZ,La Paz County AZ,Parker Unified School District,47.0,66.0,35.25
717,406000,Santa Cruz County,AZ,Santa Cruz County AZ,Patagonia Elementary District,34.5,64.5,34.45
718,406030,Santa Cruz County,AZ,Santa Cruz County AZ,Patagonia Union High School District,49.5,80.0,34.45
719,406070,Gila County,AZ,Gila County AZ,Payson Unified District,56.0,79.0,34.3
720,406120,Mohave County,AZ,Mohave County AZ,Peach Springs Unified District,17.0,42.0,33.6
